iter	Accuracy	MultiClass
458	0.6204901961	0.8388841234
459	0.6204901961	0.8388015715
460	0.6206862745	0.8386376554
461	0.621372549	0.8384804078
462	0.6214705882	0.83829883
463	0.6214705882	0.8381754718
464	0.6211764706	0.8380507746
465	0.621372549	0.8377801508
466	0.6212745098	0.8376410912
467	0.6214705882	0.8375143292
468	0.621372549	0.8373226607
469	0.6211764706	0.8370620533
470	0.6214705882	0.836849825
471	0.6219607843	0.8366835514
472	0.6220588235	0.8365897195
473	0.6221568627	0.8364541147
474	0.622254902	0.8363329112
475	0.6220588235	0.8361266365
476	0.6221568627	0.8359333554
477	0.622254902	0.8358279823
478	0.6223529412	0.8355243395
479	0.6221568627	0.8354045074
480	0.622745098	0.8352078809
481	0.6224509804	0.8350582411
482	0.6223529412	0.8349012018
483	0.6233333333	0.8346958584
484	0.6231372549	0.8346127783
485	0.6226470588	0.8344021653
486	0.6228431373	0.8342183655
487	0.622745098	0.8341256352
488	0.6234313725	0.8338638863
489	0.6234313725	0.8337183173
490	0.6237254902	0.8334581558
491	0.623627451	0.8332401311
492	0.6238235294	0.833033771
493	0.6238235294	0.8329100825
494	0.6239215686	0.8327980587
495	0.623627451	0.8326433362
496	0.623627451	0.8324837948
497	0.6240196078	0.8322572099
498	0.6238235294	0.8321610755
499	0.6238235294	0.8319724964
